obs_id	Race	isHispanic	Relationship_Status	education	employment	sex	gender	sexuality	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
1	0.000496664668265865	0.00739400684686543	-0.0186096434001644	0.0139955739266604	-0.019565616647279	0.0142760506506574	-0.0175091513458641	-0.0268138989456164	-0.00747104198978745	-0.0589529888999001	-0.00275366636328786	0.0184185907062211	-0.0906970230678936	0.000648566003524445	-0.00916056314079191	0.0401575260913803	-0.039896081670854	0.0225694291121963	-0.0147974804361429	0.0885389921388802	-0.00301226790569908	0.000288134397627954	-0.0201886722027796	-0.00261782985074211	-0.00134932156764486	0.000323339034506258	-0.121941972510736	0.11071947107112	-0.0205737207354137	0.000504809219449884	0.00120773857469015	-0.0101710462154293	0.0111181827041031	0.00319989389197737	0.00713845560232495	-0.00117362071835281	-0.0460311964166896	-0.0213093861245996	0.00553598618193448	0.00955985064688518	0.0176978002366384	-0.0135353633377476	-0.000165762747101729	-0.0246859430389859	-0.00516546200407967	-0.000411957032959964	0	0.0191265815333283
2	0.000758662026666192	-0.000851709460303631	0.0316725242747112	0.00362436123532723	0.012681436785027	-0.0220026558817808	0.0256448198703551	-0.00692138015531641	-0.0105217442252171	-0.0577788040938267	-0.00358259927053757	0.0528908719938993	-0.25889209689133	0.00112978516757603	-0.00126927256552844	0.0687854862257148	-0.00881508558916217	0.0113207492654637	-0.00559865664966441	-0.0362592808668849	-0.00359774278170443	0.000374759764293583	0.0347237890154915	-0.0012850375225697	-0.000362335540224663	0.000806833634941992	-0.393970640521104	0.393853769014132	-0.0880249281380762	0.000534942018542522	-0.00168116228158958	-0.00940107680460753	0.00312607388118178	-0.0024642651917908	0.0566862018726601	-0.00172866130733584	0.00110674653192569	-0.00366373748391213	-0.00491200562516841	-0.00928241539756983	-0.0168126340617718	-0.00209332453411046	-0.000287606255877809	-0.000797508359134014	-0.00104067628443821	-0.000404958184012018	0	0.00575991141582557
3	-0.00329752383280258	-5.39086505710979e-05	0.050106574298117	0.00611199034198355	-0.0259588520053909	-0.0244906975588176	0.0404904921363922	-0.023456025521139	-0.014633871602431	0.0185254975697732	0.00627979185928187	0.00621011525306074	-0.000717458280455513	0.000320823442162793	-0.00564295100310937	0.0564196852680378	-0.0365317045696044	0.0146348476959534	-0.0158088995497363	-0.0181467359788995	-0.00400705477715234	0.000207337058347144	0.0180096627697196	-0.0161176926109978	-0.00168356042821738	0.00129702173453975	-0.285268296398299	0.260094471631038	-0.151009319225241	0.000630930195731018	-0.00470486699391872	-0.00563425856479052	0.0146675424587905	-0.00834918212086167	0.130035418677062	-0.00192686065685652	-0.0518195648020937	-0.0127541308992028	0.00475824700741757	0.00846406098274086	0.0102857584101665	-0.00769019540614573	-0.000139729920328587	0.000901599012621318	-0.000903401479567259	-0.000263023067474075	0	0.0414778789496467
4	0.0400946383875823	-0.00138602666668782	0.0389313318709699	0.00555142179968812	0.0489044395457951	0.015013186229753	-0.0238563462834395	0.0857339732502664	0.0361716476397569	0.063403666544819	-0.000970295977833762	-0.0406421755296826	0.20656064633821	8.24456956436221e-05	-0.00352540181222454	-0.0392511146012268	0.0187530960154377	-0.00635449426062488	0.01745927704295	0.149800559371672	0.0016524055164204	-0.000313582104376918	-0.0984459196120328	0.00666902519472747	0.00109745228963026	-0.000647000834354664	-0.0645347664477353	-0.0370765864726944	-0.0467735150026596	-0.000576819734766836	-0.00521204088134217	-0.00228880311995521	0.00707377310752718	-0.00804807927968025	0.052011199612815	-0.000140760763883919	-0.0109132824093549	-0.00337590254507486	0.00440888629405086	0.0093200555330197	-0.0124463712520477	-0.00912210384158189	-0.000232101557019141	0.00715979671881392	0.000232545925274664	-0.000467606248746598	0	-0.0186141004852919
5	-0.002449900472403	-0.00162799076258078	0.0450267467027613	0.00461067117342215	0.0143306237710763	-0.046844165334998	0.0589656980969437	-0.0389908621374069	0.0280932112633716	0.0241430687530613	-0.00060200445269811	-0.0255762503344858	-0.0136420325530978	0.000716457857561647	0.0224319990739624	-0.0485231847030052	0.0339728996909668	-0.0558698510505884	-0.00373043030152442	0.140737531170249	-0.00074762818683512	0.000385923135364302	-0.0829806975380594	-0.0116713041793493	-0.00319022875355472	0.000921045786459008	0.193162286996016	-0.130337702918023	0.0552949033592209	0.000177292286800001	0.00178652711769166	0.00957697112631085	-0.0292533175833469	0.00205851282583589	-0.0599438939616219	-0.00385601006374552	0.123255268387808	0.0434597535964525	-0.0148067910902487	-0.034733731553333	-0.0392659532059503	0.0435947820272666	-0.000335582566017289	0.0481312592159777	0.0171089838556754	-0.00112183063313379	0	-0.126598465912286
6	-0.00325542210616792	-0.00109406685550343	-0.0206088419665703	0.00590160887726565	0.0398456898641425	-0.0310895410108942	0.0543452271673905	-0.0272837819505605	0.0354705476441306	0.0222981930673695	-0.00227324678947769	0.0209651848921592	-0.242639815650902	0.00152896639885625	0.0256381420224757	0.0352687342451055	-0.0364597804259841	0.00973827145759153	-0.0140410714566491	0.189151844391445	-0.00528634918477436	0.000457764478455412	-0.139234127697566	-0.00646906936433819	-0.00164250800648818	0.00214156301152869	0.210201659273319	0.114071574880544	0.0388526835898739	0.000977071202099932	0.000840385742883933	0.0114688688195243	-0.0247015456343417	0.000335406799266278	-0.0529383485922683	-0.00224014212753839	0.108312290702622	0.0337252429905894	-0.0194113916943794	-0.0260517042180588	-0.0314187459847295	0.0307508179733572	-0.000150788768004141	0.0429503886368704	0.01136745404055	-0.000102220780127074	0	-0.0991166936036687
7	-0.0257398437035076	-0.000435868875142433	0.0382806971116574	0.00500507488746485	0.0357477496385511	0.00987628711276734	-0.0185530066825976	-0.0196279063869981	0.00382674373114011	0.0438944351319053	-0.00472631513587239	-0.0219222758761743	0.11074101498792	0.000254973081557182	-0.000473763086930565	-0.000998636093315104	-0.0482397532598551	0.0180133323430136	-0.0192421536337114	0.0996400781004072	-0.00567280568842963	0.000337995013147859	-0.017162301531723	-0.00673469316625832	-0.00164668404927892	0.00414945043556023	0.110201985762977	-0.179519084927928	0.0306586450829939	0.000436978199351878	0.00299227955605049	0.00317358507514993	-5.42300005168382e-05	0.00478202562731695	-0.0289705008843529	-0.00195493042226088	-0.0210614691878881	-0.00638168566193079	0.00184509891778049	0.00599493512175045	0.0125633656007209	-0.0126351177988869	6.9175420402867e-05	-0.0158522189393957	-0.00504863928814934	-0.00185915543380178	0	0.0351549481819375
8	0.00112651845315772	-0.000858609394193066	-0.0368168824528372	0.0040103345334297	0.0283494590214998	0.013174966012959	-0.0184045345887265	-0.0176304660925455	-0.034646202797024	0.0353374953193488	-0.000961773882752156	-0.0224529935728947	0.182801987170994	0.00154914659707155	-0.0149947425247502	-0.0253288893003815	-0.00216824726017782	0.00998218795785686	-0.000589014385881944	-0.0866396574446758	-0.00160707086037122	-0.00261915824150102	0.0940215993343531	0.0447057361619281	9.65216371554254e-05	0.000303231610809599	-0.0916179508465476	-0.0921823274638748	-0.10090877212737	-0.000240308319751705	9.74911558844364e-05	-0.00114724518462387	0.0165078964889132	-0.018133677582273	0.119104714993459	-0.00252528227564622	-0.0493056078126509	-0.019099546929799	0.00673225128166322	0.0203983328397583	0.0156797531004785	-0.0264194560378142	-0.000243845143267121	0.00875381829208203	0.00311857276827312	-0.000911374613840539	0	0.0377069072978203
9	-0.00397677488759518	-0.00119549796226643	0.0463018713865173	0.00948863978493427	0.030414986392707	-0.0337361482012596	0.0463288011821016	-0.0261693172509057	0.020281557816778	0.0469951921698608	0.0139173531552533	-0.0165377265398226	-0.0666708717225814	0.000295342348112586	-0.00330096168844907	-0.0379593738772781	0.0546083760296072	-0.0346127706343572	0.0467182869742297	0.0755287588426985	0.0087300092728865	0.000172243417921461	-0.026983751377733	-0.00150438680870409	-0.00115125825579257	0.000544857062957747	-0.187720836272144	0.161928604265196	-0.0604233284308036	-0.00279642624046669	-0.00337343004120557	-0.00753934435139065	0.0006635539992825	0.00192589691491086	0.0358777985511255	-0.00465224721075118	0.0157150602843233	0.00295555432723677	0.000304345699390115	-0.00510857494533627	-0.00740069379231956	-0.00315688924465182	0.00019464434369877	0.00214545734429945	-0.000468825496164539	-0.00132884630517868	0	0.0212034510397002
10	0.00245644288607915	-0.00110690755096197	-0.0270151509085774	0.00843102308040519	0.0435669914523288	-0.0320338200412341	0.0387596271170762	0.0708312834359778	0.0178676187252517	0.0261447651760935	-0.00300576098769628	-0.0125033249935615	-0.132146312132635	0.000143118896550269	0.0179492162156866	0.0133404969885779	0.0586030014415643	-0.0203164962497767	-0.00200020358405417	0.108276860143464	-0.00830028146106293	8.79819653474749e-05	-0.0271427159392136	-0.00426898792253386	-0.00155681888585962	0.000540499425018767	0.0753471635792932	0.113090945222638	0.0157718700520029	-0.000750041879641199	0.00186917975440147	0.00489788556193626	-0.0106866507627298	0.000207548118476018	-0.04362998647646	-0.00333044309553693	0.0308732265907074	0.0217169168248853	0.0014316222741495	-0.00857682445924239	-0.0119620304209144	0.00669785463629139	-7.04544245555354e-05	0.00829910326535778	-0.000600953087958804	-0.00352623578621037	0	-0.0575542124721427
